blocked_x,blocked_y,category,end_x,end_y,goal_mouth_y,goal_mouth_z,match_id,minute,note,outcome,qualifiers,satisfied_event_types,second,type,x,y
,,Carry,65.2,30.3,,,1983546,62,"derived (gap+distance heuristic), not a native WhoScored event",Successful,"{'distance': 10.26, 'gap_seconds': 2}",[],43,Carry,64.1,20.1
,,Carry,43.7,33.0,,,1983546,63,"derived (gap+distance heuristic), not a native WhoScored event",Successful,"{'distance': 6.26, 'gap_seconds': 2}",[],42,Carry,38.8,36.9
,,Carry,32.6,29.5,,,1983546,71,"derived (gap+distance heuristic), not a native WhoScored event",Successful,"{'distance': 7.75, 'gap_seconds': 3}",[],28,Carry,40.2,31.0
,,Pass,61.6,4.7,,,1983558,0,,Successful,"{'Zone': 'Right', 'PassEndX': '61.6', 'PassEndY': '4.7', 'Chipped': True, 'Length': '29.2', 'Angle': '4.94'}","[91, 119, 117, 30, 124, 36, 38, 216, 218]",3,Pass,55.4,46.6
,,Pass,55.3,5.8,,,1983558,0,,Successful,"{'Zone': 'Right', 'PassEndX': '55.3', 'PassEndY': '5.8', 'LayOff': True, 'Length': '5.3', 'Angle': '3.19'}","[91, 119, 117, 30, 35, 38, 216, 218]",22,Pass,60.3,6.2
,,Pass,94.8,23.0,,,1983558,0,,Unsuccessful,"{'Zone': 'Center', 'PassEndX': '94.8', 'PassEndY': '23.0', 'Length': '20.1', 'Angle': '0.15'}","[91, 120, 29, 36, 37, 217, 218]",50,Pass,75.9,18.6
,,Pass,60.7,48.0,,,1983558,3,,Successful,"{'Zone': 'Center', 'PassEndX': '60.7', 'PassEndY': '48.0', 'Length': '7.2', 'Angle': '1.53'}","[91, 119, 117, 30, 36, 37, 216, 218]",54,Pass,60.4,37.4
,,Pass,75.9,15.2,,,1983558,4,,Successful,"{'Zone': 'Right', 'PassEndX': '75.9', 'PassEndY': '15.2', 'Length': '5.9', 'Angle': '2.93'}","[91, 119, 117, 30, 205, 35, 37, 217, 218]",1,Pass,81.4,13.4
,,Pass,61.8,34.2,,,1983558,4,,Successful,"{'Zone': 'Center', 'PassEndX': '61.8', 'PassEndY': '34.2', 'Length': '9.8', 'Angle': '2.87'}","[91, 119, 117, 30, 35, 37, 216, 218]",9,Pass,70.8,30.3
,,Pass,100.0,21.4,,,1983558,4,,Unsuccessful,"{'Longball': True, 'Zone': 'Center', 'PassEndX': '100.0', 'PassEndY': '21.4', 'Length': '33.6', 'Angle': '6.15'}","[91, 120, 128, 36, 38, 217, 218]",15,Pass,69.7,28.0
,,Pass,39.0,64.4,,,1983558,6,,Successful,"{'Zone': 'Back', 'PassEndX': '39.0', 'PassEndY': '64.4', 'Length': '14.8', 'Angle': '3.19'}","[91, 117, 30, 35, 38, 216, 218]",53,Pass,53.1,65.4
,,Pass,90.3,28.3,,,1983558,8,,Successful,"{'Zone': 'Center', 'PassEndX': '90.3', 'PassEndY': '28.3', 'Length': '2.7', 'Angle': '0.25'}","[91, 119, 117, 30, 205, 36, 37, 217, 218]",34,Pass,87.8,27.3
,,Tackle,,,,,1983558,9,,Successful,"{'Zone': 'Right', 'StandingSave': True, 'OppositeRelatedEvent': '89', 'Defensive': True}","[91, 143]",54,Tackle,64.8,6.6
,,Pass,66.5,4.1,,,1983558,11,,Successful,"{'Zone': 'Right', 'PassEndX': '66.5', 'PassEndY': '4.1', 'Length': '23.7', 'Angle': '5.69'}","[91, 119, 117, 30, 36, 38, 216, 218]",46,Pass,47.7,23.5
,,Pass,61.6,64.4,,,1983558,11,,Successful,"{'Zone': 'Center', 'PassEndX': '61.6', 'PassEndY': '64.4', 'Length': '21.6', 'Angle': '1.56'}","[91, 119, 117, 30, 36, 37, 216, 218]",55,Pass,61.3,32.6
,,OffsidePass,89.6,32.3,,,1983558,13,,Successful,"{'PlayerCaughtOffside': '326413', 'Zone': 'Center', 'PassEndX': '89.6', 'PassEndY': '32.3', 'OppositeRelatedEvent': '115'}","[91, 217]",40,OffsidePass,85.2,25.6
,,Pass,44.0,41.0,,,1983558,14,,Successful,"{'Zone': 'Back', 'PassEndX': '44.0', 'PassEndY': '41.0', 'Length': '7.4', 'Angle': '4.41'}","[91, 117, 30, 35, 38, 216, 218]",43,Pass,46.1,51.4
,,Pass,51.6,63.3,,,1983558,14,,Successful,"{'Zone': 'Center', 'PassEndX': '51.6', 'PassEndY': '63.3', 'Length': '30.6', 'Angle': '1.76'}","[91, 119, 117, 30, 35, 37, 216, 218]",55,Pass,57.0,19.1
