category,distance,end_x,end_y,gap_seconds,match_id,minute,note,outcome,second,start_minute,start_second,type,x,y
passes,,67.4,44.5,,1983568,17,,Successful,47,,,Pass,70.8,31.8
passes,,80.3,28.5,,1983568,17,,Successful,58,,,Pass,81.8,18.8
passes,,87.1,8.3,,1983568,18,,Successful,30,,,Pass,65.6,20.6
passes,,59.0,52.3,,1983568,23,,Successful,52,,,Pass,62.0,18.5
passes,,88.5,58.6,,1983568,29,,Unsuccessful,24,,,Pass,72.4,88.9
passes,,84.5,9.2,,1983568,32,,Successful,16,,,Pass,87.0,26.8
passes,,90.7,68.0,,1983568,32,,Successful,29,,,Pass,77.2,64.9
passes,,28.7,39.2,,1983568,34,,Unsuccessful,48,,,Pass,31.2,28.2
passes,,75.3,39.2,,1983568,38,,Successful,54,,,Pass,74.8,68.3
passes,,64.1,39.4,,1983568,39,,Successful,13,,,Pass,73.1,11.5
passes,,74.8,80.6,,1983568,47,,Successful,25,,,Pass,66.7,73.0
passes,,48.7,51.4,,1983568,45,,Successful,0,,,Pass,49.8,49.8
passes,,82.3,12.3,,1983568,48,,Successful,15,,,Pass,75.3,25.4
passes,,73.3,6.9,,1983568,48,,Successful,23,,,Pass,69.6,26.2
passes,,53.7,49.5,,1983568,49,,Successful,28,,,Pass,40.8,34.8
passes,,47.7,32.9,,1983568,52,,Successful,4,,,Pass,61.5,10.3
passes,,61.3,54.4,,1983568,52,,Successful,38,,,Pass,68.6,75.5
passes,,59.0,50.6,,1983568,52,,Successful,41,,,Pass,61.6,64.6
passes,,56.4,47.3,,1983568,52,,Successful,43,,,Pass,59.3,60.9
passes,,67.1,82.9,,1983568,52,,Successful,47,,,Pass,57.8,62.7
passes,,75.8,93.5,,1983568,52,,Successful,51,,,Pass,63.9,78.0
passes,,87.9,17.0,,1983568,53,,Successful,29,,,Pass,78.2,36.2
passes,,81.9,48.8,,1983568,55,,Successful,1,,,Pass,80.0,66.7
passes,,47.8,29.8,,1983568,55,,Successful,26,,,Pass,40.4,20.4
passes,,95.3,71.2,,1983568,58,,Successful,34,,,Pass,68.8,71.1
passes,,86.7,26.2,,1983568,58,,Successful,44,,,Pass,72.5,24.2
passes,,94.4,7.7,,1983568,59,,Unsuccessful,52,,,Pass,74.9,5.4
passes,,29.7,42.1,,1983568,67,,Successful,31,,,Pass,34.2,61.5
passes,,31.0,22.4,,1983568,67,,Successful,46,,,Pass,29.1,43.0
passes,,46.3,70.5,,1983568,67,,Successful,54,,,Pass,44.4,36.2
passes,,88.3,56.4,,1983568,68,,Successful,6,,,Pass,74.6,65.0
passes,,77.1,29.5,,1983568,68,,Successful,31,,,Pass,69.8,24.6
passes,,89.0,17.1,,1983568,70,,Successful,25,,,Pass,84.6,22.7
passes,,89.2,29.9,,1983568,70,,Successful,28,,,Pass,83.2,25.2
passes,,88.8,18.8,,1983568,70,,Unsuccessful,33,,,Pass,87.2,15.8
passes,,56.7,85.3,,1983568,72,,Unsuccessful,57,,,Pass,27.1,64.6
passes,,31.0,84.0,,1983568,73,,Successful,10,,,Pass,26.9,68.3
passes,,29.4,92.4,,1983568,73,,Successful,13,,,Pass,27.9,79.4
passes,,25.3,75.6,,1983568,73,,Successful,30,,,Pass,24.7,68.6
passes,,55.3,52.8,,1983568,73,,Successful,35,,,Pass,46.3,50.5
passes,,26.7,7.1,,1983568,75,,Successful,26,,,Pass,35.5,11.6
defensive_actions,,,,,1983568,47,,Successful,23,,,BallRecovery,62.1,61.7
defensive_actions,,,,,1983568,49,,Successful,27,,,BallRecovery,36.6,30.4
defensive_actions,,,,,1983568,73,,Successful,29,,,BallRecovery,23.6,69.4
carries,10.63,68.6,14.7,6,1983568,,"derived (gap+distance heuristic), not a native WhoScored event",,,15,18,,74.7,6.0
carries,9.76,84.6,11.6,3,1983568,,"derived (gap+distance heuristic), not a native WhoScored event",,,17,26,,92.3,5.6
carries,12.2,66.7,73.0,2,1983568,,"derived (gap+distance heuristic), not a native WhoScored event",,,47,23,,62.1,61.7
carries,12.16,70.3,69.3,4,1983568,,"derived (gap+distance heuristic), not a native WhoScored event",,,47,25,,74.8,80.6
